Personnage,Réplique
LANCELOT,Un Chevalier digne de confiance ?
ARTHUR,Voilà.
ARTHUR,Pour veiller sur la Reine pendant mon absence.
GUENIÈVRE,Qu’est-ce qui se passe ?
GUENIÈVRE,Je prends l’air. C’est interdit ?
GUENIÈVRE,Qu’est-ce que j’ai fait ?
ARTHUR,Comment « qu’est-ce que j’ai fait ? »
LANCELOT,Vous avez rien fait !
ARTHUR,Mais qu’est-ce que vous me chantez ? Je vois pas le rapport !
GUENIÈVRE,Figurez-vous que je suis assez grande pour savoir ce que je dois manger ou pas !
GUENIÈVRE,Me faire surveiller ? Qu’est-ce que c’est que cette nouveauté ?
ARTHUR,C’est pas nouveau.
LANCELOT,Ça se fait.
GUENIÈVRE,J’aimerais bien savoir où !
ARTHUR,Partout.
GUENIÈVRE,Partout où ça ?
ARTHUR,Partout partout.
ARTHUR,Voilà.
ARTHUR,Mais non !
LANCELOT,C’est un exemple.
LANCELOT,Surtout avec sa femme…
GUENIÈVRE,Alors allez-y ! Qu’est-ce que j’ai pas le droit de faire ?
LANCELOT,Vous faites ce que vous voulez !
LANCELOT,Non mais pas moins.
GUENIÈVRE,Alors ça change rien ?
LANCELOT,Ah non.
GUENIÈVRE,Il manquerait plus que ça !
GUENIÈVRE,Eh ben non merci. Vous êtes gentil mais j’ai rien demandé.
ARTHUR,Non mais c’est moi qui demande ! C’est pas vous !
ARTHUR,Heu… (à Lancelot) Oui c’est vrai…
LANCELOT,On n’a pas évoqué…
GUENIÈVRE,Vous n’allez pas me faire surveiller par tout le pays !
ARTHUR,Je vous ferai surveiller par qui je veux ! Là !
ARTHUR,Non !
LANCELOT,Une ceinture de chasteté.
GUENIÈVRE,Quoi ? Il n’en est pas question !
GUENIÈVRE,Je m’excuse mais je trouve ce procédé révoltant !
LANCELOT,Il faut plutôt prendre ça du côté traditionnel.
GUENIÈVRE,Sans rire ! Me promener nuit et jour cadenassée dans un machin en ferraille !
LANCELOT,C’est sûr que c’est pas très engageant.
ARTHUR,Justement. Il faut pas que ce soit engageant. C’est le principe.
GUENIÈVRE,Les autres ? Quels autres ?
GUENIÈVRE,On se demande bien pourquoi !
GUENIÈVRE,C’est quand même gros que ce soit moi qui me tape la ceinture alors que je dois être la seule fille de Bretagne de moins de trente ans que vous touchez pas !
LANCELOT,Faut pas vous en faire.
LANCELOT,C’est surtout pour pas que les gens commencent à dire qu’il a pas d’autorité sur vous.
GUENIÈVRE,C’est gentil.
KARADOC,Ça y est ?
PERCEVAL,Et le Roi trouve pas ça bien ?
LANCELOT,Disons que je l’ai habitué à mieux…
PERCEVAL,Ah ouais…
KARADOC,C’est pas mal !
PERCEVAL,Ah oui !
ARTHUR,Dans ça d’eau ?
PERCEVAL,Je m’excuse mais c’est justement les petits qui sont les plus durs à attraper !
KARADOC,Ils se faufilent !
ARTHUR,Et vous allez me raconter que les villageois vous ont accueillis comme des héros ?
ARTHUR,Ah oui ! Magnifique ! Ils ont estourbi une anguille ! Un bel exemple de courage pour les générations futures !
PERCEVAL,On a pris ce qu’il y avait !
KARADOC,Ben non !
PERCEVAL,Il y a pas eu besoin puisqu’on est tombés sur le Serpent tout de suite !
ARTHUR,Mais il y avait peut-être un vrai serpent géant au milieu du Lac !
PERCEVAL,Vous voulez dire qu’il y aurait eu deux Serpents Géants ?
ARTHUR,Mais je ne sais pas !
KARADOC,Où ça ?
ARTHUR,C’est juste au cas où vous auriez pas tué le bon Serpent Géant !
PERCEVAL,Pareil pour revenir.
KARADOC,Ben oui !
PERCEVAL,La Quête du Serpent Géant du Lac de l’Ombre !
ARTHUR,Ils se barrent en mission pendant trois mois et ils reviennent avec une anguille…
KARADOC,On l’a laissée en trophée aux villageois.
PERCEVAL,Eh ben… J’espère que vous avec un truc qui vaut le coup parce qu’ils sont pas de bonne humeur !
PERCEVAL,La vache !
BOHORT,Sensations garanties ! La Légende se porte bien : les jeunes enfants vont trembler pendant des siècles et des siècles !
KARADOC,Qu’on partage un peu nos expériences…
PERCEVAL,On a un peu tendance à se reposer sur nos lauriers.
BOHORT,C’est magnifique…
ARTHUR,Bleu profond ?
BOHORT,Comment « en vrai » ?
DAME SÉLI,Vous êtes au courant que la toiture de votre château est en train de tomber en rideau ?
GUENIÈVRE,Un oiseau ?
LÉODAGAN,Une connerie…
ARTHUR,Je comprends pas comment on peut avoir peur des oiseaux.
GUENIÈVRE,Quelle horreur…
GUENIÈVRE,Ce sont des monstres.
ARTHUR,Mais pourquoi ? Je comprends pas.
GUENIÈVRE,Parce qu’ils n’ont pas de bras.
ARTHUR,Hein ?
GUENIÈVRE,J’ai jamais dit que c’était logique !
ARTHUR,Elle mange dans sa chambre.
LÉODAGAN,Ah bah c’est élégant ! Et on peut savoir pourquoi ?
DAME SÉLI,Quand même ! J’aurais dû me rendre compte !
LÉODAGAN,Quoi ? Bah je sais pas ce qui vous faut !
LÉODAGAN,Bah et les guêpes ?
YVAIN,C’est même pas vrai !
LÉODAGAN,Quand il y a une guêpe qui lui tourne autour. il a peur qu’elle lui rentre dans la bouche !
DAME SÉLI,Ah mais c’était ça ?
DAME SÉLI,C’est pour ça qu’il mange aux cuisines et qu’il met pas le nez dehors pendant tout l’été !
ARTHUR,Ah ! Qu’est-ce que c’est que ça ?
GUENIÈVRE,Quoi donc ?
GUENIÈVRE,Mais c’est mon bandeau que je mets dans les cheveux !
GUENIÈVRE,Qu’est-ce que vous voulez que ce soit ?
GUENIÈVRE,Un quoi ?
ARTHUR,Ah !
GUENIÈVRE,Pourquoi vous me l’avez jamais dit ?
ARTHUR,Mais j’ai rien à dire !
GUENIÈVRE,C’est pas grave d’avoir peur…
GUENIÈVRE,Je suis sûre que c’est parce qu’ils ont pas de bras !
ARTHUR,Mais arrêtez de dire des conneries.
GUENIÈVRE,C’est demain que vous déjeunez avec le Centurion romain ?
ARTHUR,Oui.
GUENIÈVRE,Ah bon.
CAIUS,Non mais le prenez pas mal !
ARTHUR,C’est fini Rome ! Terminé ! Tout le monde le sait.
CAIUS,Romulus Augustus.
LÉODAGAN,C’est ça. Et quel âge il a ?
CAIUS,Onze ans et demi.
CAIUS,Non mais il est vachement mûr pour son âge.
ARTHUR,Quoi ?
ARTHUR,« Pas mal foutu… » Tout en pierres d’Irlande !
LÉODAGAN,Une merveille !
ARTHUR,Centurion Caius Camillus !
LÉODAGAN,Sans blague… ?
ARTHUR,Vous déconnez ?
LÉODAGAN,Quoi ?
ARTHUR,Ah non ?
ARTHUR,Ben on vous invite pas puisque vous occupez le Pays…
CAIUS,C’est gentil mais vous fatiguez pas.
LÉODAGAN,Mais non !
PERCEVAL,De quoi ?
PERCEVAL,Mais le temps de quoi ?
PERCEVAL,Un petit Cul-de-Chouette… mais comment vous voulez dire… ?
PERCEVAL,Un bleu-rouge ?
PERCEVAL,De quoi ?
PERCEVAL,De quoi ?
KARADOC,Eh ben ?
PERCEVAL,Eh ben quoi ?
PERCEVAL,Cul-de-Chouette ?
PERCEVAL,Bon ben… Cul-de-Chouette !
PERCEVAL,De quoi ?
KARADOC,Ouais… C’était risqué.
KARADOC,Bon ben voilà. Du coup vous sortez du jeu.
PERCEVAL,Si on se faisait une Grelottine ?
KARADOC,Je connais pas.
PERCEVAL,Ah merde…
PERCEVAL,Eh ben ?
MERLIN,Comment vous vous êtes fait ça ?
ARTHUR,En me coupant un bout de fromage.
MERLIN,C’est pas bien joli…
ARTHUR,Je suis vraiment désolé. Ça vous dégoûte pas trop ?
ARTHUR,Ah non ?
ARTHUR,Ça change quoi ?
ARTHUR,Qu’est-ce que vous faites ?
MERLIN,Je veux bien refermer mais pas à la Magie ! Avec du fil tressé et une aiguille à matelas.
ARTHUR,J’ai pas le temps de faire de la broderie maintenant ! On est en train de se prendre une peignée !
ARTHUR,Au gros sel ? Mais qu’est-ce que c’est que ces conneries ? Vous me prenez pour une épaule d’agneau ?
MERLIN,Mais… Ça a pas eu le temps de faire effet…
MERLIN,Vous croyez ?
ARTHUR,Évidemment. Comment vous dites que ça s’appelle ?
MERLIN,La Médecine.
ARTHUR,Qu’est-ce qu’ils vont pas chercher…
MERLIN,Comment vous vous êtes fait ça ?
PERCEVAL,En me coupant un bout de fromage.
PERCEVAL,Une salope d’abeille qui vient me piquer juste à côté de l’œil !
ARTHUR,Non.
GUENIÈVRE,Je vois. Je suppose que c’est le genre d’endroit où il faut parler fort et se taper dans le dos !
ARTHUR,Non non.
GUENIÈVRE,Ah bon ? Alors pour quelle raison est-ce que les femmes n’ont pas le droit d’être là ?
ARTHUR,J’ai jamais dit qu’elles avaient pas le droit d’être là. Vous voulez venir ?
GUENIÈVRE,Ah non…
BOHORT,Mais pourquoi est-ce que vous mettez votre armure pour chevaucher de Calédonie jusqu’ici ? Vous devriez vous trouver une petite tenue de voyage confortable. Une petite étoffe en lin ou quelque chose…
CALOGRENANT,Non.
CALOGRENANT,Je n’ai jamais été aussi humilié de ma vie.
CALOGRENANT,Trouvez-moi une autre armure !
ARTHUR,Ah non.
CALOGRENANT,Non ?
CALOGRENANT,En plus… ?
CALOGRENANT,J’ai une hygiène irréprochable !
KARADOC,Et s’il se couvrait les jambes avec quelque chose ?
CALOGRENANT,Avec quoi ?
CALOGRENANT,Est-ce que j’ai le choix ?
CALOGRENANT,Une tenue officielle… Vous n’avez qu’à considérer que je suis officiellement cul nu.
ARTHUR,Bon bah allez-y. Qu’on en finisse.
CALOGRENANT,J’en reviens pas…
ARTHUR,Nous non plus mais on va pas passer trois mois là-dessus. Enroulez-vous ça autour des jambes et on enchaîne.
ARTHUR,Parfaitement satisfaits.
ARTHUR,Alors qu’est-ce qu’il faut faire ?
CALOGRENANT,Quoi ? Vous voulez que j’humilie ma terre natale pour une connerie d’armure rouillée ?
ARTHUR,C’est un ordre.
CALOGRENANT,Je crois que je vais vomir.
GUENIÈVRE,C’est gentil d’avoir tenu compte de mes remarques. Je suis très touchée.
ARTHUR,Non.
ARTHUR,J’ai pas de beau-frère.
ARTHUR,Une horde d’Hindous ?
GAUVAIN,Ah ? On dit quoi ?
ARTHUR,On dit quatre.
YVAIN,Il avait une touffe de cheveux comme ça ! Un vieux moisi tout guez à poil dans la neige !
GAUVAIN,Quelle horreur ! On étaient bloqués : les guerriers nous empêchaient de fuir !
YVAIN,C’est là que le Sorcier a sorti son bâton.
GAUVAIN,Il avait l’air très en colère !
ARTHUR,Qu’est-ce que vous nous chantez ?
ARTHUR,Comment ça « Il a soulevé des poids…» ?
GAUVAIN,De toutes sortes… Il a commencé petit et puis de plus en plus lourd…
YVAIN,Avec sa couille.
GAUVAIN,Les poids étaient attachés à des bouts de cordelette et… et il les soulevait.
GAUVAIN,Parce que ça a bien duré une demi-heure !
YVAIN,Il tenait un chiffon sur sa jambe et il gueulait sur les autres en même temps…
ARTHUR,Quoi ? « Bite » ?
ARTHUR,Mais j’ai rien dit !
ARTHUR,Non.
ARTHUR,À demain.
LÉODAGAN,Voyez ? « À demain »… Qu’est-ce que ça veut dire : « À demain » ?
ARTHUR,Mais de quoi vous voulez parler ?
BOHORT,Je ne sais pas… De tout et de rien…
BOHORT,Des lapins ?
ARTHUR,Voilà. Soyez tranquille ; allez vous coucher.;
BOHORT,À moi !
BOHORT,Des faisans ?
BOHORT,Il y en a ou il y en a pas ?
BOHORT,Ah si !
ARTHUR,Des faisans ?
BOHORT,Ah oui ! Vous avez vu la taille de ces machins ?
BOHORT,Des oiseaux de quatre pieds de long ! Je m’excuse du peu mais je trouve ça parfaitement terrifiant !
ARTHUR,Eh ben mettons qu’il y a pas de faisans.
BOHORT,Vous dites ça pour me rassurer…
ARTHUR,Des lapins.
BOHORT,Des lapins adultes ?
BOHORT,Des jeunes lapins.
ARTHUR,Voilà.
BOHORT,Et quoi d’autre ?
ARTHUR,Vous voulez vraiment pas aller vous coucher ?
BOHORT,Pas de faisans ?
ARTHUR,Pas de faisans.
BOHORT,Pas de belettes ?
ARTHUR,Non.
BOHORT,Des petits furets ?
ARTHUR,Non plus.
BOHORT,Des souriceaux ?
ARTHUR,Pas que je sache.
BOHORT,Des gerbilles ?
ARTHUR,Mais non.
BOHORT,Une petite gerbille ?
BOHORT,Bon.
ARTHUR,On discute.
BOHORT,De choses et d’autres.
ARTHUR,Et vous ?
LÉODAGAN,Ah non. Un ours.
ARTHUR,C’était sûrement un lapin.
BOHORT,Un lapin adulte ?
LANCELOT,Roparzh ?
ARTHUR,Alors que chez vous… ?
ROPARZH,Personne vous demande d’en manger !
GUETHENOC,Encore une chance !
GUETHENOC,Des ânes ? Il a que ça ! Tout le tour du ventre !
ROPARZH,Quoi ? Vous voulez rigoler !
GUETHENOC,Ce serait pourtant la moindre des choses !
GUETHENOC,Une bête magnifique ! Le poil luisant !
ROPARZH,Une saloperie !
GUETHENOC,Une merveille !
ROPARZH,Je suis sûr que mes chiens ont chopé le typhus !
LANCELOT,Stop !
ARTHUR,Eh ben donnez-lui la moitié d’un âne.
ROPARZH,Mais… je vais pas couper un âne en deux…
GUETHENOC,Qu’est-ce que vous voulez que je foute d’une moitié d’âne ?
ARTHUR,Et moi ? Qu’est-ce que vous voulez que je foute de vos conneries ?
ARTHUR,Je suis désolé.
LANCELOT,C’est un jeune paysan des environs qui a perdu des œufs.
ARTHUR,Qui a perdu des œufs ?
LÉODAGAN,Vrai !
DAME SÉLI,Et si vous crevez sur un champ de bataille ? On est marron !
GUENIÈVRE,Oh bah quand même… un petit bisou de temps en temps…
LÉODAGAN,C’est avec des petits bisous que vous comptez en faire des Chefs d’État ?
GOUSTAN LE CRUEL,C’est justement parce que vous avez été cocolé par une lopette de jardinier que vous gouvernez comme une femme !
ARTHUR,Ah bon ? Je croyais que c’était vous « le Sanguinaire »…
LÉODAGAN,Ou alors « le Mou » ou « le Gentillet » !
GUENIÈVRE,Je suis désolée mais mon mari est très respecté ! Le monde entier vient nous rendre visite !
GOUSTAN LE CRUEL,Le monde entier vient visiter votre fillette de mari parce que c’est une attraction mondiale !
LÉODAGAN,Ça fait des années que je lui répète de monter des tourelles sur la côte ouest ! Pas moyen !
LÉODAGAN,C’est la porte ouverte à la menace !
GOUSTAN LE CRUEL,Il a déjà fait pareil pour les Romains. Il compte peut-être pactiser avec toutes les raclures du continent ?
GUENIÈVRE,On a même un théâtre !
GUENIÈVRE,Père ! Je vous interdis de toucher au théâtre !
GOUSTAN LE CRUEL,Et voilà… la fille et la femme qui interdisent au père… La décadence est en marche.
GUENIÈVRE,À force de couper la tête à tout le monde pour un oui ou pour un non…
LÉODAGAN,On a toujours fait comme ça !
ARTHUR,Ils viennent ici.
PERCEVAL,Tavernier ! Le petit frère et je m’en vais !
PERCEVAL,Je sais plus… « Le Chaudron je-sais-pas-quoi…» Encore un fourbi magique à aller chercher !
PERCEVAL,Sire ?
ARTHUR,Quoi ?
ARTHUR,Le Chaudron Rutilant.
PERCEVAL,Ah ouais. C’est un chaudron qui brille.
PERCEVAL,Trois lieues à pied rien que pour ça !
ARTHUR,Bon allez ! passez-moi le parchemin. Je vais lancer le sort.
PERCEVAL,Vous êtes sûr ? Vous allez pas regretter ?
ARTHUR,Quoi qui va pas ?
PERCEVAL,Je l’ai encore oublié à la taverne.
PERCEVAL,Parce que vous allez voir qu’il va encore trouver que je lambine !
ARTHUR,Vous oubliez pas que c’est demain que ma mère arrive ?
GUENIÈVRE,Ça fait quinze fois que vous me le répétez. Arrêtez de vous inquiéter : tout est prêt pour la recevoir.
ARTHUR,Mais je m’inquiète pas…
YGERNE,Vous n’avez pas peur que ça fasse un peu tape-à-l’œil ?
ARTHUR,Tape-à-l’œil ? Je sais pas… Vous trouvez ça vulgaire ?
YGERNE,Tout ça est beaucoup trop riche pour moi.
YGERNE,Et c’est engorgé de sauce et de vin romain que vous menez vos hommes au front ?
GUENIÈVRE,On lui fait préparer des petites galettes d’avoine qu’il emporte dans son barda.
YGERNE,Au cas où il aurait une petite faim-faim ?
YGERNE,C’est pas moi qui l’ai élevé. Ça se voit…
ARTHUR,J’ai pas connu.
YGERNE,Ça se voit.
YGERNE,Un fermier.
YGERNE,Un Chevalier-fermier ?
GUENIÈVRE,Ça vous plaît pas ? Vous voulez que je vous fasse préparer autre chose ?
YGERNE,Et vous vous laissez parler comme ça ? Du temps de Pendragon…
GUENIÈVRE,Vous avez pas envie de parler ?
GUENIÈVRE,Je pensais à votre mère…
ARTHUR,Eh ben ?
GUENIÈVRE,Je me disais… Vous pensez pas qu’il faudrait qu’elle se trouve quelqu’un ?
PERCEVAL,On est quand même mieux là !
ARTHUR,La ferme !
ARTHUR,Je ne veux pas qu’on sache que le Roi Arthur et ses Chevaliers de la Table Ronde se torchent la gueule à la taverne du coin ! Alors cachez vos visages et bouclez-la ! On attend que la neige s’arrête et on repart !
ARTHUR,Quatre laits de chèvre.
LÉODAGAN,Oh… Quand même.
PERCEVAL,On peut pas montrer nos visages parce qu’on a la lèpre.
LÉODAGAN,J’aime pas le lait.
KARADOC,Moi non plus.
PERCEVAL,Moi non plus.
ARTHUR,On va pas passer commande sur commande pendant toute la soirée ! Je vous dis que je veux pas qu’on se fasse remarquer ! Déjà qu’on a été obligés d’expliquer pendant une heure qu’on était pas lépreux !
LÉODAGAN,Bon bah on passe commande une fois pour toutes et c’est bon.
KARADOC,Pourquoi ?
LÉODAGAN,Non.
ARTHUR,Alors allez-y commandez. Mais vite !
ARTHUR,Qu’est-ce que vous faites ?
LÉODAGAN,Voyez ? Il me reconnaît pas.
LÉODAGAN,Ben enlevez-les !
LÉODAGAN,Il boude.
ARTHUR,Non merci.
ARTHUR,Non merci.
ARTHUR,Non !
PERCEVAL,Enlevez au moins votre capuchon si ça va pas. Vous serez plus à l’aise…
LÉODAGAN,Mais vous faites pas de souci…
KARADOC,Je crois que je me suis fais piquer un truc.
ARTHUR,Piquer un truc ? Par qui ?
ARTHUR,Azénor.
ARTHUR,Aïe…
LÉODAGAN,Disparue ! Désintégrée avec ma bectance ! Qu’est-ce que vous dites de celle-là ?
AZÉNOR,C’est digne !
ARTHUR,Les bandits ? C’est une fille de paysan !
ARTHUR,Mais je ne sais pas ! C’est une histoire de…
AZÉNOR,Mais j’en veux pas !
AZÉNOR,Qu’est-ce que vous avez à sourire ? Vous vous payez ma tête ?
ARTHUR,Mais non.
AZÉNOR,Alors quoi ?
ARTHUR,Rien…
AZÉNOR,Mais si !
ARTHUR,J’aime bien votre côté… Vous êtes toujours…
AZÉNOR,Je suis désolée.
ARTHUR,Qu’est-ce qu’il y a ?
LÉODAGAN,Je sais plus.
ARTHUR,J’aime bien savoir qui c’est qui vient se plaindre !
LÉODAGAN,La rumeur ?
GUETHENOC,Mais absolument pas !
LÉODAGAN,Ah si.
GUETHENOC,C’est une honte d’entendre ça !
ARTHUR,Très bien. Est-ce que vous connaissez le Seigneur Karadoc ?
KARADOC,J’ai rien dit !
KARADOC,Je crains personne.
ARTHUR,Voilà. Et on l’a fait venir pour goûter votre pain.
ARTHUR,Allez-y.
KARADOC,Je commence par lequel ?
GUETHENOC,Celui que vous voulez.
KARADOC,C’est de la merde.
GUETHENOC,C’est ça votre spécialiste ?
KARADOC,Ah bah non. Vous me prenez pour un con ?
LÉODAGAN,Alors comment vous faites ?
KARADOC,Ben je le fais venir d’Aquitaine par bateau dans des containers spéciaux pour pas qu’il sèche.
GUETHENOC,Du pain d’Aquitaine ! Sire ! Faites quelque chose ou il va y avoir un massacre !
GUETHENOC,C’est un complot !
LÉODAGAN,Donc… ?
KARADOC,C’est de la merde.
GUETHENOC,Et alors ?
KARADOC,C’est de la merde.
LANCELOT,Ça faisait longtemps qu’il y en avait pas eu.
ARTHUR,La trésorerie doit être à sec.
ARTHUR,Et toujours les mêmes conneries.
ARTHUR,Me prévenir de quoi ?
ARTHUR,Vite !
LANCELOT,Ça m’aurait étonné…
KARADOC,Non non mais c’est vrai.
ARTHUR,La barbe !
LANCELOT,Quelle différence ?
ARTHUR,Et allez…
ARTHUR,Hé mais c’est Perceval !
LANCELOT,Seigneur Perceval ! Mais qu’est-ce que vous faites là ?
PERCEVAL,Bah on m’a dit que c’est là qu’il fallait venir quand on avait un problème !
LANCELOT,Non mais le peuple ! Pas vous !
ARTHUR,Exactement. Cassez vous.
LANCELOT,On est là pour ça. À quel problème ?
GUETHENOC,Au chou.
ARTHUR,Au quoi ?
ARTHUR,Je suis désolé mais on choisit pas tellement l’endroit où on se fait attaquer !
LANCELOT,Où ça ?
GUETHENOC,Dans l’enceinte du château.
ARTHUR,Non mais attendez… On était en train de dire qu’on réservait un petit coin et là vous me parlez de rangées…
ARTHUR,Cinq mille pousses !
LANCELOT,Non mais vous êtes dingue ! On pourrait même plus passer !
ARTHUR,Mais je vais pas accueillir les Chefs de Clan en leur demandant d’enjamber des rangées de choux ! Je vais passer pour quoi ?
LANCELOT,Je m’excuse mais dans les châteaux il y a quand même plus souvent des carrés de tulipes que des rangées de choux !
ARTHUR,On verra à ce moment-là.
LANCELOT,Un tiers blettes ?
ARTHUR,Je sais même pas ce que c’est comme légume.
LANCELOT,Il faut le cuire longtemps.
LANCELOT,Pour les cochons ? Quels cochons ?
GUETHENOC,Ben les cochons ! Il faut bien que je protège les cochons aussi ! Il y a pas que les choux !
LANCELOT,Et tâchez d’être discret !
LANCELOT,Ben tiens !
GUETHENOC,Et si j’ai envie quand même de souhaiter la bonne journée aux dames du château ?
LANCELOT,Je trouve que vous avez fait ce qu’il fallait. Vous avez fait preuve d’écoute et d’ouverture…
KARADOC,Sire !
PERCEVAL,Qu’est-ce que vous faites là ?
ARTHUR,Et vous ? bande de cons !
ARTHUR,Voilà quatre jours qu’on vous cherche !
KARADOC,On était en affaires dans le coin.
ARTHUR,Un lait de chèvre.
KARADOC,Je crois que vous avez pas idée de qui c’est qui vient s’asseoir dans votre estanco !
PERCEVAL,Vous avez tort de vous cacher ! Ça lui ferait sûrement plaisir de savoir que le Roi vient boire un coup dans son négoce !
ARTHUR,Dans les rades ?
ARTHUR,Je veux bien.
KARADOC,On a une réputation à tenir…
KARADOC,Nous ?
PERCEVAL,Mais quel genre de destin ?
KARADOC,On peut pas se permettre de passer pour des clodos.
ARTHUR,Ah bon ?
ARTHUR,Comme quoi…
GUENIÈVRE,Comme quoi… ?
ARTHUR,Comme quoi c’est pas une question de cheveux.
PERCEVAL,C’est après que ça se gâte.
ARTHUR,Ah si ! J’y suis même arrivé à fond de train puisqu’il a lâché la corde.
PERCEVAL,J’ai eu un petit mouvement de panique…
PERCEVAL,Non non mais pas ça… Une quête où j’y étais pas…
ARTHUR,De quoi ?
ARTHUR,Qu’est-ce que vous avez dit ?
ARTHUR,Vous avez parlé de ma femme.
ARTHUR,Et ça change quoi ?
ARTHUR,Une tournure à la con ! Vous allez me virer ça vite fait ou vous prenez mon pied aux fesses !
ARTHUR,Quoi ?
ARTHUR,Ben…
PERCEVAL,Vous savez pas ?
ARTHUR,Eh ben voilà. On peut pas savoir.
GUENIÈVRE,Qu’est-ce qui se passe ?
ARTHUR,Rien.
GUENIÈVRE,Je vous dis qu’il n’y a pas de problème. Vous parlerez au Roi demain matin.
ANGHARAD,J’ose pas.
ANGHARAD,J’ai peur qu’il m’envoie promener.
GUENIÈVRE,Il faut toujours que vous râliez.
ARTHUR,J’aime pas cette manie que vous avez prise de faire monter la bouffe au plumard !
ANGHARAD,Est-ce que je peux me permettre de rappeler à Madame ce que Madame m’a promis hier ?
GUENIÈVRE,Ah oui ! (à Arthur) La petite voudrait vous parler.
ARTHUR,À moi ?
ANGHARAD,Comme à Rome.
ANGHARAD,Monsieur sera témoin que je ne suis pas du genre à avoir des histoires avec tous les hommes qui résident au château.
ARTHUR,C’est à dire ?
ANGHARAD,Certainement pas !
ARTHUR,Bon ben très bien… Qu’est-ce que vous voulez que ça me foute ?
ANGHARAD,Monsieur… Monsieur n’est pas sans connaître les choses de l’amour…
ARTHUR,Les choses de l’amour… comment vous voulez dire ?
ARTHUR,Ouais…
ANGHARAD,Non ?
ARTHUR,Importante ?
ARTHUR,Ben… ça dépend de qui il s’agit…
ANGHARAD,Le Seigneur Perceval.
ARTHUR,Moi ? Mais pourquoi moi ?
ARTHUR,Vous osez pas ?
ANGHARAD,Si mais il comprend rien.
PERCEVAL,Bah entrez !
PERCEVAL,Les choses de l’amour ?
ARTHUR,Oui.
PERCEVAL,Ben tout dépend…
PERCEVAL,Vous et Angharad ?
ARTHUR,Non… Vous et Angharad.
PERCEVAL,Ah non.
PERCEVAL,Ah bon.
ARTHUR,Voilà. Tout est clair ?
PERCEVAL,J’irais pas jusque-là mais…
GUENIÈVRE,Qu’est-ce que ça peut vous faire ? Vous ne quittez pas votre parchemin des yeux !
GUENIÈVRE,Il se rapproche.
ARTHUR,Qui ça qui se rapproche ?
GUENIÈVRE,L’orage !
GUENIÈVRE,Ça me fait peur ! Voilà ! J’ai peur de l’orage. Vous êtes content ?
ARTHUR,Peur de l’orage ? Mais pour quoi faire ?
GUENIÈVRE,Oh mais ne soyez pas stupide ! J’ai peur parce que les Dieux sont en colère !
ARTHUR,La foudre est tombée sur le temple et il s’est ramassé une pierre sur la tronche.
GUENIÈVRE,Je vois pas bien ce que ça change !
ARTHUR,Ça change que je vois pas ce que les Dieux viennent foutre là-dedans.
ARTHUR,Bah et moi ?
ARTHUR,Ah bravo ! Bonjour l’éducation !
GUENIÈVRE,Ça se rapproche encore… Je suis sûre que c’est pour moi !
GUENIÈVRE,Un pressentiment ! Je me suis mal conduite et voilà ce qui m’attend ! Brûlée vive par la foudre !
GUENIÈVRE,Il y a pas que la boisson qui est punie !
ARTHUR,Quoi d’autre alors ?
GUENIÈVRE,Je ne sais pas moi… la trahison !
ARTHUR,Vous avez trahi qui ?
GUENIÈVRE,Mais personne !
GUENIÈVRE,Il y a l’adultère !
ARTHUR,Vous m’avez trompé ?
ARTHUR,Non.
GUENIÈVRE,Non ?
ARTHUR,Alors les Dieux viendraient vous cramer vous parce que la Duchesse d’Armorique se tape la moitié de la Gaule depuis quinze ans ?
ARTHUR,Ah non mais c’est pas possible ! Elle me foutra pas la paix !
GUENIÈVRE,J’ai peur ! Faites quelque chose !
ARTHUR,Venez.
GUENIÈVRE,Quoi ?
ARTHUR,Venez là.
GUENIÈVRE,Pour quoi faire ?
ARTHUR,Vous verrez bien pour quoi faire. Merde ! Venez !
ARTHUR,Ça va pas mieux là ?
GUENIÈVRE,Ben… si.
ARTHUR,Bon bah voilà. Respirez.
ARTHUR,Non.
GUENIÈVRE,Bah si.
ARTHUR,Voyez ?
GUENIÈVRE,Eh ben si !
GUENIÈVRE,Ah bon.
ARTHUR,Ça va bien maintenant…
NARSÈS,Ben si.
PERCEVAL,Je sais pas ce que c’est mais ça a pas l’air marrant !
NARSÈS,Quel rapport ?
NARSÈS,Je suis un Eunuque perse.
PERCEVAL,Mais qu’est-ce que ça veut dire « Eunuque » ?
ARTHUR,Rien.
NARSÈS,Comment « rien » ?
NARSÈS,Vous avez déjà mangé du chapon ?
PERCEVAL,Vous avez de la saveur ?
NARSÈS,Mais non !
ARTHUR,Je vous ai dit… Moi je lui explique plus rien depuis des années.
NARSÈS,Je suis castré. Comme le chapon.
PERCEVAL,Je crois que je vais gerber.
NARSÈS,Bah qu’est-ce que vous voulez que j’en fasse ?
ARTHUR,C’est que je vous demande. Qu’est-ce que vous voulez en faire ?
ARTHUR,Ben j’avoue que ça m’aiderait parce que… j’arrive pas à me faire l’image…
NARSÈS,Je vois ce que vous voulez dire. C’est parce que je peux pas…
ARTHUR,Les autres ?
NARSÈS,Allez quoi ! Un beau geste !
PERCEVAL,Même moi ?
ARTHUR,Surtout vous.
NARSÈS,Non.
ARTHUR,C’est pas lui ?
PERCEVAL,Ah non !
ARTHUR,Pour quoi faire ?
NARSÈS,Parole d’homme !
ARTHUR,Ouais bah allez-y alors.
NARSÈS,Sympa.
