index,Personnage,Réplique
185,Guethenoc,"  Messieurs dames, dans quelques instants le grand spectacle de la souffrance. Si vous pouvez tâcher moyen de vous éloigner de 25 pieds, bons pieds, hein parce que ça va gicler un peu. !"
186,Guethenoc," C'est que la nature est trop hostile pour un gars comme ça, hein."
187,Guethenoc," Vous êtes arrivés dans un fameux merdier ! Des fourches dans le gras du cul, c'est ça que vous allez ramasser comme cadeau de bienvenue !"
188,Le seigneur Jacca," Ca fait deux cent ans qu'il y a que les paysans qui payent les taxes, alors je vois pas pourquoi aujourd'hui ça change, comme ça d'un seul coup et ça me tombe dessus comme une merde sur une planche !"
189,Le seigneur Jacca," 2500 pièces d'or ???! Eh... eh... C'est une blague? 2500 pièces d'or, mais où voulez vous que je trouve 2500 pièces d'or, dans le cul d'une vache ?!"
190,Le seigneur Jacca," Excusez moi Sire, c'est sur le coup du…"
191,Le seigneur Jacca," Et le seigneur Lothar, il paye pas, lui, je sais il me l'a dit ...[Léodagan : non il paye pas, parce qu'il participe au combat]... Mais vous vous foutez de moi?! Il a au moins 95 ans, il a une jambe raide, il est tellement bigleux qu'il trouverait même pas sa bite pour pisser !"
192,Le seigneur Jacca," Attendez, ça fait combien de dizaines d'années que je leur laisse cultiver mes terres, à ces connards ? En plus de ça ils sont même pas polis, ils sont cons... Comme des tables ! Ils font un pain dégueulasse - on s'pète les dents dessus - non, là, j'ai besoin d'un peu de pognon, alors j'aime autant vous dire qu'ils vont passer à la caisse, les pécores !"
193,Kadoc," Pour savoir s’y a du vent, il faut mettre son doigt dans le cul du coq."
194,Kadoc, On met du beurre dans le fond du plat pour pas que le gratin colle.
195,Kadoc, Y'a des méchants ?
196,Kadoc, Je présente vos hommages au roi Arthur.
197,Kadoc," J'ai le droit d'être 4 jours pas chez moi, et après chez moi. Mais y a du voyage qui se prépare, et pour soigner les bêtes, y a pas que ma tante, y a moi aussi."
198,Kadoc, Pourquoi je peux pas avoir un chien moi ? […] Mais c'est juste pour mettre des coups de pied dedans ! […] Moi j'en ai marre de toujours donner des coups de pied aux poules !
199,Kadoc, À Kadoc ! À Kadoc !
200,Kadoc," Tatan, elle fait des flans."
201,Kadoc, Les pattes de canaaaaaaaaaaaaaaaaaaaaaaaaaaaaard !
202,Kadoc, Elle est où la poulette ?
203,Kadoc, Mooordu! Mooordu! Mordu mordu mordu mordu la ligne !!!!
204,Kadoc," Karadoc il s'occupe, mais c'est pas ma Tatan !"
205,Kadoc, (à propos du père Blaise) Il ressemble à Tatan !
206,Kadoc," Le caca des pigeons c'est caca, faut pas manger."
207,Kadoc," (Sur l'air de Promenons-nous dans les bois)
Pas du tout, les lapins, les lapins, c'est gentil !

Le poissooon ! Le petit poissooon !"
208,Kadoc," Des fois on n'a pas le choix faut sacrifier des jeunes, c'est le grand qu'a dit."
209,Kadoc," Dans trois jours, ma tata elle m’emmène à la mer pour me noyer."
210,Kadoc," Quand y'a plus de roi, c'est caca."
211,Kadoc, Ça suffit ! Elle est où la poulette ? Elle est bien cachée ?
212,Kadoc, Vous rendez la poulette sinon c'est plus vous qui donnez à manger aux lapins !
213,Kadoc, Vous rendez la poulette ou c'est tout nus dans les orties !
214,Kadoc, Il est où Kadoc ? Il est bien caché ?
215,Kadoc," Il faut pas respirer la compote, ça fait tousser."
216,Karadoc," On construit un barrage, après on lance de la caillasse de l'autre côté de la rivière pour faire croire aux autres qu'on a traversé dans l'autre sens. Une fois qu'ils sont au milieu, on casse le barrage et on les noie. Ouais... le seul problème c'est que quand on a passé quatre semaines à construire un barrage, ça fait un peu mal au cul d'le détruire..."
217,Karadoc," Mais y a rien à développer ! C'est de la merde, c'est de la merde, c'est tout ! Moi, on me sert ça dans une auberge, le tavernier, il s'prend une quiche dans sa tête !"
218,Karadoc," Ce pain-là, il est cuit trop vite dans un four trop chaud ; la montée n'a pas le temps de se faire et il y a trop d'air dans la mie. […] C'est de la merde."
219,Karadoc, L'agneau était daubé du cul !
220,Karadoc," Eh oui mémé, t'es bien mouchée!"
221,Karadoc," Par exemple, vous prenez aujourd’hui. Vous comptez sept jours. Ça vous emmène dans une semaine. Et bien on sera exactement le même jour qu’aujourd’hui… À une vache près, hein… C’est pas une science exacte."
222,Karadoc," Des p'tits croutons tout vieux genre pour les lapins ? Ouais j'savais pas c'que c'était, dans le doute j'les ai bouffés."
223,Karadoc," [La politique de l'autruche, c'est] Une politique qui court vite, une politique qui fait des gros œufs, c'est tout."
224,Karadoc," Les chicots, c'est sacré ! Parce que si j'les lave pas maintenant, dans dix ans, c'est tout à la soupe. Et l'mec qui me fera manger de la soupe il est pas né !"
225,Karadoc," Si ça peut m'éviter de chlinguer du cul, je peux bien me tremper une ou deux fois par an."
226,Karadoc," Qu’est-ce que c’est que ce style de bouffer des petits machins tout secs et trois gallons de flotte par jour ? […] Si la jeunesse se met à croire à ces conneries, on se dirige tout droit vers une génération de dépressifs ! Le gras, c’est la vie."
227,Karadoc, Sire ! Enfin vous arrivez pour me sauver. […] De l’hypolipémie ! J’ai plus de gras dans le sang. Je vais me mettre à peler et à perdre mes cheveux…
228,Karadoc," Ça y est… je vois trouble. C’est le manque de gras, je me dessèche."
229,Karadoc, Vous nous utilisez bon gré mal gré pour arriver sur la fin.
230,Karadoc," Le Graal par ci, le Graal par là. Le Graal par ci, le Graal par là. Le Graal par ci, le Graal par là. Le Graal par ci, le Graal par là…"
231,Karadoc," Mon frère, il peut pas aller à l'école. Quand on lui explique un machin technique, il s'évanouit."
232,Karadoc," C'est normal, c'est en se cassant la gueule qu'on apprend à marcher. Combien de fois j'ai failli m'étouffer avec un os de lapin. Il faut jamais se laisser abattre par un échec, c'est ça le secret."
233,Karadoc, Oh le con ! Mais il est pas fini d'affiner !
234,Karadoc, La neige qui poudroie dans la solitude de notre enfance. Qu'est ce que vous dites de ça ?
235,Karadoc," On tombe sur le fric, comme ça, du premier coup ! On s'est même pas fait un cor au pied !"
236,Karadoc," Cette histoire de Graal, ça a assez traîné ! […] Si c’est pas moi qui prend les choses en main, on y est encore dans cent piges… […] Préparez la fiesta, j’suis un héros !"
237,Karadoc," Parce que d'un point de vue santé publique, il vaut mieux bouffer ça une fois par mois que de la merde tous les jours. Je vais vous dire, à ce niveau là, c'est plus de la gastronomie, c'est de l'érotisme."
238,Karadoc," La joie de vivre et le jambon, y'a pas trente-six recettes du bonheur !"
239,Karadoc," Parce que mon couteau pour le pâté, euuh, y'a rien à faire, jm'en tape."
240,Karadoc," Lorsqu'on le tient par la partie sporadique, ou boulière, le fenouil est un objet redondant."
241,Karadoc," Tout à l’heure, on a vu que le chapelet de saucisses n’était pas un objet redondant. Et pourtant, on a pu lui trouver une utilisation périmétrique en s’en servant comme un fouet."
242,Karadoc," Là, y’a les méduses, les insectes. Là, y’a les glandus, les grouillots. Là, y’a les mecs normaux. Là, y’a les chevaliers. Là, y’a les rois et les princes. Et après, bien au-dessus, y’a le Roi Arthur. Vous, vous aurez eu deux bonhommes dans votre vie, eh ben vous pourrez dire que vous avez tapé dans l’exception."
243,Karadoc," Allez, faites-vous belle, que j'me pointe avec la came présentable."
244,Karadoc," Ma femme… mon ex-femme… C’était peut être un peu moins prestige parce qu’elle est pas reine… mais au moins, elle habitait pas à six heures de marche avec un autre mec."
245,Karadoc," C'est pas que c'est difficile de la récupérer... C'est que c'est sa mère difficile de la récupérer, la race de sa grand-mère !"
246,Karadoc, Du passé faisons table en marbre.
247,Karadoc," Vous dites pas : « Qu’est ce qu'il fait chaud… », vous dites : « La chaleur est un plat qui se mange froid. »"
248,Karadoc," Les chiffres, c'est pas une science exacte figurez-vous !"
249,Karadoc, C’est compliqué mais c’est compliqué !
250,Karadoc," Quand je pense à la chance que vous avez de faire partie d'un clan dirigé par des cerveaux du combat psychologique, qui se saignent... aux quatre parfums du matin au soir ! !"
251,Karadoc, Ouais. Ou alors le mec qu'on dirait qu'il marche normalement mais en fait il marche alternativement à cloche-pied sur chaque pied.
252,Léodagan," Encore une chance qu'on se soit pas fait construire un buffet à vaisselle, hein !"
253,Léodagan," Vous parlez comme les bouquins. Bon, moi, c'est l'idée que j'm'en fais, j'peux pas blairer d'lire."
254,Léodagan," Ah bah non, du moment que vous nous obligez pas à les manger !"
255,Léodagan," C’est dingue, cette histoire ! C’est pas parce que vous faites des tartes pour des petits-enfants qui existent pas que je dois les emmener à la pêche, si ?!"
256,Léodagan," Sans vouloir la ramener, la seule différence concrète avec des briques, c'est que vous appelez ça des tartes !"
257,Léodagan, Ah bah c'est sûr qu'c'est pas Jo l'Rigolo.
258,Léodagan," Non, mais attendez, vous faites semblant de négocier, tranquille. Pendant ce temps, moi je fais celui qui va pisser, là bas, et quand j'arrive à sa hauteur, tac, je sors ma dague et je l'ouvre en deux par le bas."
259,Léodagan, J'pense pas que deux trous-du-cul soient plus efficaces qu’un seul !
260,Léodagan," C'est vous qui lui avez mis ces conneries dans le crâne ?! Mais je vous préviens, la prochaine que je le vois avec un luth, je lui casse sur la tête !"
261,Léodagan," Fier ?! J'vais l'envoyer trois mois à poil dans la forêt à bouffer des asticots et des racines, j'vous garantis que quand il reviendra, il fera moins de poèmes, hein !"
262,Léodagan," Tu vas aller te battre ou je t'en mets une ! [...] (à Séli) Ah, et si vous vous voulez pas en prendre une par ricochet, je vous conseille de pas la ramener !"
263,Léodagan, Vous allez pas être embêté avec une maîtresse qu’a plus d’mains ?
264,Léodagan," Vous êtes marié, comme moi ; vous savez que la monstruosité peut prendre des formes très diverses."
265,Léodagan," Qu'est-ce que vous voulez, mon p'tit Bohort : entre son épée qui fait de la lumière, son Merlin qui fait pleuvoir des grenouilles et sa Dame du Lac qui se prend pour une truite, il lui manque plus qu'un numéro de trapèze, au roi des Bretons."
266,Léodagan, Il dit tellement rien qu'on dînerait avec un tabouret ce serait pareil.
267,Léodagan," Calogrenant, c'est le roi des cons."
268,Léodagan, Dites tout de suite que j'ai des idées de tocard !
269,Léodagan," Faut toujours que vous veniez foutre votre merde, vous…"
270,Léodagan," C'est vrai que c'est curieux cette manie de pas vouloir torturer ; ça vient de quoi, ça ?"
271,Léodagan, Tenez ! c'est le mot que je cherchais… Il gouverne comme une femme !
272,Léodagan," Alors quand je rentre la taverne à quatre pattes vous tapez des crises à rallonge, et ce soir, tout a coup, on est viril quand on picole."
273,Léodagan," Ma parole, des engins comme vous, ça devrait être fourni avec une notice !"
274,Léodagan," C'est quand même formidable ce pays, faut galoper à coté de la route pour pas se casser la gueule !"
275,Léodagan," Le minotaure... Le minotaure c'est jamais qu'une grosse vachette montée sur deux pieds, hein! C'est pas ça qui va m'empêcher d'dormir !"
276,Léodagan," C'est quand même magnifique une armée bien coordonnée, hein... Ben quoi, vous allez pas m'dire qu'on a pas l'air con avec nos drapeaux, ça fait une heure qu'on fait des signes ; y'en a pas un qui va dans le même sens !"
277,Léodagan, Mais qu'est-ce que vous venez me gonfler avec votre père Blaise !
278,Léodagan, Il y a des fois vous admettrez que vous êtes hors-normes.
279,Léodagan," Non mais bien sûr ! Donc vous dégommez des souris au maillet vous.[...] Non mais ce qui compte c'est le résultat. Au maillet, au tir à l'arc... Vous avez essayé la catapulte ?"
280,Léodagan," Vous voyez où ça mène, vos pique-niques à la con ?"
281,Léodagan," J’dis déjà pas merci dans ma langue, alors je vais pas l’apprendre en picte."
282,Léodagan," Personnellement, la condition paysanne, j'me la taille en biseau, voyez."
283,Léodagan, Qu'est ce que c'est que ce style ? Vous bradez ma piaule sur les marchés maintenant.
284,Léodagan," Ah bah c'est réglé hein, j'confirme ! En c'moment, il range ses slibards dans ma commode !"
285,Léodagan," J'ai pas gueulé, je leur ai signifié gentiment qu'on était pas chez les romanos et qu'il fallait qu'ils décarrent vite fait d'leur canfouine avant de prendre ma main dans la tronche !"
286,Léodagan," Moi au moins quand je parlemente, c'est pas vicelard."
287,Léodagan," J'ai toujours eu du bol avec l'aléatoire, moi."
288,Léodagan," Ah je sais pas, je sais pas. Vous savez avec lui [""Arthur""] ça fait longtemps que j'ai arrêté les pronostics!"
289,Léodagan, Non mais asseyez-vous ou je vous casse votre assiette sur la tête.
290,Léodagan, C’est pas parce qu’un vieux moisi vient nous baver dans les étagères que ça vaut forcément que’que chose.
291,Léodagan," Remarquez… Bohort, éclaireur… rien que pour la curiosité…"
292,Léodagan," Ooooooooh, non mais faire du labyrinthe avec un trou-de-balle pareil, faut drôlement de la vaillance, hein !"
293,Léodagan, (Hurlant) QUAND J'PENSE QUE J'AI R'FILÉ MA FILLE À UN ROMAIN ! J’SUIS À DEUX DOIGTS D'CRÂMER L’CHÂTEAU !!
294,Léodagan," Avec un pif pareil, ils feraient mieux de chercher des truffes plutôt que de nous emmerder !"
295,Léodagan," Vous savez c'que c'est, mon problème ? Trop gentil."
296,Léodagan," En tout cas, on a cramé leur tueur, s'ils veulent le récupérer, il est facile à transporter."
297,Léodagan," Ben c'est pas pour prendre la défense de la petite, mais c'est vrai qu'il tabasse le rouquin aujourd'hui."
298,Léodagan," Avant de parler d’hygiène, qu’ils arrêtent déjà de chier par les fenêtres !"
299,Léodagan, Vous mériteriez que je vous foute à la lourde avec les chiens au calcif !
300,Léodagan," Moi une fois, j'étais tellement raide que j'avais l'impression de me faire attaquer de tous côtés, j'me défendais, j'me défendais... En fait, j'étais dans un pâturage, j'ai tué 76 chèvres !"
301,Léodagan," Hé ouais ! C'est pas les idées qui vous manquent, c'est la conviction de devoir les réaliser !"
302,Léodagan," Bon, par exemple : moi j'adore les fraises, bon bah si j'bouffe 3 bassines de fraises en 1 heure ah bah... j'choppe la chiasse hein, j'suis comme tout l'monde hein…"
303,Léodagan," Parce que votre bal merdique, c'est enrichissant ? Quatre jours à voir gigoter des tarlouzes, rien que d'y penser ça me scie les nerfs !"
304,Léodagan, Euh... C'est moi ou y a une ambiance de merde ?
305,Léodagan," Moi, j’ai appris à lire, et ben je souhaite ça à personne !"
306,Léodagan," Quoi, j'y vais ? Je l'avoine ?"
307,Léodagan," Eh bah mon vieux... Pour ça comme pour le reste, on n'est pas à la hauteur de la légende."
308,Léodagan," Nooon, mais c'est bon, ne me prenez pas pour une bille, non plus ! Vous êtes la Dame du Lac."
309,Léodagan," Là pareil, on reste dans du classique : la peau du fion."
310,Léodagan," (à propos de la grande porte du château) Vous allez me faire le plaisir de faire péter cette saloperie que je puisse faire sortir la machine, hein!"
311,Léodagan, Je le pique pas ! Je le canalise ! L'idée de départ est tout de même différente.
312,Léodagan," Je devrais, je devrais... Vous commencez à nous faire chier avec vos conditionnels ! Balancez-moi ces deux cons aux galères et qu’on en parle plus !"
313,Léodagan," Hé ben, ils nous auront fait chier jusqu’au bout les Grecs."
314,Léodagan," Bah oui, on est sur une île, et je mets des tourelles sur les côtes alors tant que j’aurai pas fait le tour, il va m’en falloir encore."
315,Léodagan, (Arthur : J’avais peur que vous rasiez toutes les cabanes du pays.) Ah bah ouais… Peur justifiée !
316,Léodagan," C'est marrant parce que, d'habitude, dans les tartes, moi, je mange les fruits puis je laisse la pâte."
317,Léodagan," Ben moi en général, je lui réponds ""merde"". En principe ça colle avec tout."
318,Léodagan," Est-ce que je sais moi? A force de systématiquement tout faire pour le mettre de travers, j'me souviens plus de tout…"
319,Léodagan," Oh, la fierté… Si j’avais dû être à cheval là-dessus, je vous aurais pas épousée, déjà."
320,Léodagan," Moi, j’étais sûr qu’ils reviendraient crevés ; ils sont vivants, un succès. Mieux, une surprise."
321,Léodagan, On a les mains prises ducon !!!
322,Léodagan," Heu... à propos de devenir marteau, vous savez que chez moi ça peut aller assez loin ?
Parce que bon, mettons là heu... on s'pose, on analyse le truc. Le crin-crin, ça fait des heures que ça dure et en plus, vous vous y mettez à plusieurs...
Et ben moi le machin, une fois que j'en ai fait des copeaux, et ben je peux très bien mettre le feu au plumard ! Même au mobilier, ça m'fait pas peur !"
323,Léodagan," En somme, il faudrait déclarer la guerre à Lancelot pour récupérer la Reine et donner un héritier au trône, en tablant sur l'éventualité que la Reine est enceinte et pas d'une fille ? [Dame Séli : En somme] Et c'est moi le paramètre hasardeux ?"
324,Léodagan, Elle est choucarde celle la ou pas ?
325,Léodagan," Eh ben, vous avez une de ces tronches, vous ! [Élias : Quoi ? Quelle tête ?] J'en sais rien mais plus que d'habitude, hein ! Vous avez toujours une mine de chiotte mais là... J'sais pas si c'est la lumière du feu ou quoi, mais on dirait que vous êtes mort."
326,Léodagan," Je vous le dis, cette histoire ça pue !"
327,Léodagan," Ce qu'il y a de bien avec les opinions tranchées, c'est qu'ça relance le débat. En somme vous êtes une sorte de provocateur, quoi."
328,Léodagan," Prenons un symbole connu : le Graal. Tout le monde sait bien que c'est beaucoup plus qu'un vase, hein ? Y'a toute une signification autour. Mais regardez ça par exemple : c'est une couronne. Alors d'un point de vue purement concret, ça veut juste dire que je suis Roi. Mais d'un point de vue symbolique, c'est beaucoup plus intéressant... Par exemple, cette couronne nous informe symboliquement que tous les mous du slibard qui avaient l'habitude de se les rouler sous l'ancien régime vont devoir se mettre un coup de fouet s'ils veulent pas que je leur mette moi-même. Cette couronne symbolise la fin des haricots et la décarrade des tire-au-flanc, et surtout l'avènement de l'ordre et de la discipline. En d'autres termes, la rigolade, c'est terminé."
329,Léodagan," Et qu'est-ce que vous voulez que j'y fasse à la paperasse, moi ? Vous me prenez pour un serre-livre ?"
330,Léodagan," Parce qu'au bout d'un moment, il va falloir envisager la possibilité de me lâcher la collerette !"
331,Léodagan," Non, mais je crois que mes ambitions se résument clairement : la férocité avant tout."
332,Léodagan, Vous voulez que j'aille lui mettre une avoine ?
333,Léodagan," Dites, vous savez qu'à solliciter trop souvent la patience des gens, on finit par agacer ?"
334,Léodagan," Alors, si vous êtes plus à l'aise avec les notions concrètes, je peux vous proposer mon pied dans les noix…"
335,Léodagan, Ils ont la notion de rien ! Même la notion de la menace que représente mon pied au cul ils l'ont pas. C'est désespérant.
336,Léodagan," Les coups de génies, j'ai pas besoin qu'on me les souffle."
337,Léodagan," Oui vous avez raison, soyez pas trop d’mon côté. On aurait l’air un peu couple à la con à être tout l’temps d’accord !"
338,Léodagan," Je veux bien passer sur vos tentatives de putsch, vos combines véreuses, vos alliances bidon, et tout le reste... En revanche, si vous ne la fermez pas tout de suite, mais, définitivement, je vous aplatis les boules avec ça."
339,Léodagan," Eh les gars, vous savez ce qu'on bouffe ce soir ? DU ROMAIN !"
340,Léodagan," Moi je vous le dis, si on monte pas dans le char quand il nous passe sous le nez, on finira la route à pied."
341,Léodagan," Je vous ai déjà expliqué, les gens s'ennuient a votre contact. Donc ils vous disent rien sur eux. Oui j'ai une soeur, et tout un tas d'autres trucs que je vois pas l'intérêt de vous confier. Alors arrêtez d'en être surpris."
342,Léodagan, ...Le fils Pendragon est de retour. Eh bah qu'il vienne ! On le collera au bêchage tiens ! Comme ça il sera pas venu pour rien.
343,Léodagan, (Maclou : il y a quelque chose au fond) De la merde ? (Maclou : ça fait des traces) Des traces de merde ?
344,Léodagan," Je lève mon verre au retour de ma fille, et du cornichon pesteux qu'on croyait canné qui l'a délivré."
345,Lancelot," N’ayez crainte, Sire, je protégerai la reine de la férocité des bêtes de la nuit !"
346,Lancelot," Si votre but c’était de séduire les dames fallait faire chevalier, c’est tout !"
347,Lancelot," Nan mais si vous voulez, je passerai vous voir discrètement le soir et je vous la débouclerai... Comme ça vous passerez une bonne nuit…"
348,Lancelot, Apollon il va se lever et vous le mettre dans le pif son casque !!
349,Lancelot," Bah ça va, je picole pas souvent !"
350,Lancelot," Non mais je sais pas comment c’est arrivé sur le tapis… On parlait d’esclavage, je crois. Les autres disaient que vous l’aboliriez sans doute dans l’avenir ; moi j’ai dit que c’est parce que vous aviez pas le courage de l’faire maintenant ; il y en a un qui m’a dit qu’il fallait pas que je me prenne pour le roi et voilà ! (un peu gêné) Alors j’ai dit… ""Le roi je l’emmerde""… Mais c’était dit sans méchanceté."
351,Lancelot," Alors faites des efforts pour arrêter de vous comporter comme un connard ! Moi j’en ai plein le cul de seconder un merdeux de dix ans même pas foutu de trouver un Graal ou de faire un gamin à sa femme ! Oui alors voilà, je me suis assis sur votre trône parce que je fais la moitié de votre boulot… Et je vous emmerde !"
352,Lancelot," Les villageois, je les emmerde !"
353,Lancelot," Un village assailli de brigands, une femme qui se fait tabasser, une poule qui boîte, c'est pas les opprimés qui manquent ! Et là au moins, j'aurai l'impression de servir à quelque chose."
354,Lancelot," Ils ont rien ramené parce que c'est des débiles. Arrêtez d'envoyer Perceval et Karadoc en mission, c'est ridicule !"
355,Lancelot," Vous savez que j'occupe à mi-temps ma place à la Table Ronde, et que l'autre moitié de mon temps je reprends ma place de chevalier errant... Eh bien tout ça, c'est fini"
356,Lancelot," Qu'est-ce que vous voulez que je développe ? Vous n'êtes pas de taille à mener la quête du Graal, vous n'avez pas les épaules. De plus comme vous êtes incapable de vous séparer de la bande de pantins ridicules qui vous sert de gouvernement, vous passez pour un faible et un laxiste aux yeux du peuple et des pays voisins, et puis je parle pas des dieux évidemment, ceux-là, s'ils pouvaient parler... […] Et même tout nu et sur un pied, j’irai toujours cent fois plus loin que vous et votre risible compagnie de crétins !"
357,Lancelot, Ça fait longtemps qu'il est en péril l'équilibre ! Ça fait des lustres que je m'échine à le faire tenir debout ! J'abandonne ! Et tirez-vous de chez moi avant que je me fâche pour de bon.
358,Lancelot," Vous allez me lâcher les noyaux, oui ? Y'a pas assez à faire dans ce camp sans venir me les péter toutes les deux minutes ?! Faut forcément que je vous colle un ordre à chaque fois qu'il s'agit de ratisser un tas de feuilles ?! Mettez moi de l'ordre dans ce campement nom d'un chien ! Vous êtes pas à Kaamelott ici ! Je veux pas voir traîner un quignon d'pain c'est compris ?! Revue de détail dans un quart d'heure, allez zou !"
359,Lancelot," Pour tout vous dire, je crois pas que ce soit bon pour mon autorité que mes soldats apprennent que je suis ""une grosse pucelle"" !"
360,Lancelot," Non, je suis désolé, c'est pas possible ; on se lève pas à midi dans un camp militaire ! Demain matin, celui qui est pas debout à l'aube, je le pends à un arbre, c'est clair ?"
361,Lancelot, Je préfère vous tuer de mes mains plutôt que de vous perdre.
362,Le roi Loth," Ave Cesar, rosae rosam, et spiritus rex ! Ah non, parce que là, j’en ai marre !"
363,Le roi Loth," Tempora mori, tempora mundis recorda. Voilà. Eh bien ça, par exemple, ça veut absolument rien dire, mais l’effet reste le même, et pourtant j’ai jamais foutu les pieds dans une salle de classe, attention !"
364,Le roi Loth," Les mômes maintenant, ils lisent, ils lisent, ils lisent et résultat...ils sont encore puceaux à 10 ans…"
365,Le roi Loth," Je ne reviendrai plus jamais, cette fois je le dis, je le fais, je reste chez moi. Merde. Ça suffit."
366,Le roi Loth," Santis recorda, santis deus rex. (Galessin: ce qui veut dire ?) Absolument rien."
367,Le roi Loth," Vous êtes chevalier, je suis roi… Je vous demande de venir, vous venez et puis c’est tout !… Je vais pas non plus aller brûler un cierge sous prétexte que vous avez fait un tour de cheval !"
368,Le roi Loth, Voilà… Moi de mon coté j'avais parié que vous étiez encore trop branquignole pour savoir c'qui était à vous… Je vois que j’ai encore tapé juste !
369,Le roi Loth," Pour faire court, vous êtes ici chez les salopards. C’est admis. On n'a pas des idées bien jojo, et on n’a pas peur de le dire ! On fomente, on renégate, on laisse libre cours à notre fantaisie."
370,Le roi Loth," Oh là ! Attendez. Nous ici, on est en train de parler à quelqu’un d’intelligent. Si vous en êtes encore à respecter vos serments, on va couper court, on est tous très occupés."
371,Le roi Loth," Ah ! À ce propos, je dois vous avouer que j'ai longtemps réflechi à savoir comment vous deviez m'appeler. [...] Éh oui ! Parce que vous êtes pas, à proprement parler, un de mes sujets. Vous êtes pas sous mes ordres non plus. ""Sire"", c'est quand même un peu ampoulé. Alors j'ai pensé à beaucoup de choses. ""Loth"", ""Seigneur"", ""Monsieur""... Je me suis même demandé si vous deviez pas m'appeler ""vieille branche"", ""mon p'tit pote"" ou ""canaillou""."
372,Le roi Loth," Alors là, pareil. J'vais dire une banalité : Ne jamais négliger les bienfaits du couple dans la fonction militaire ; surtout quand on est à poste de décisions. Moi, j'ai toujours mené mes troupes de façon laborieuse et pénible, pourquoi ? Avant tout - faut pas s'le cacher - parce que ma femme est une grosse salope."
373,Le roi Loth," Moi, quand ma garce de femme est là, ça déménage pas mal aussi… Hier, elle m’a fendu le tibia avec une amphore, la salope !"
374,Le roi Loth," Victoriae mundis set mundis lacrima. Bon, ça ne veut absolument rien dire, mais je trouve que c’est assez dans le ton."
375,Le roi Loth," La surprise, Seigneur Dagonet. Une discipline pour laquelle vous n’avez aucun talent. [...] Vous êtes toujours désespérément là où l’on vous attend. Par exemple, tout le royaume pense que vous êtes un con.[...] Et quand vous ouvrez la bouche, vous ne faites que confirmer que vous en êtes un. Vous n’avez pas le sens du coup de théâtre."
376,Le roi Loth," Quand on veut être sûr de son coup, Seigneur Dagonet… on plante des navets. On ne pratique pas le putsch."
377,Le roi Loth, Bon ben voilà. Flat minimas et patria.
378,Le roi Loth, C'est un style que vous vous donnez d'être à moitié cul nu ? [...] Remarquez ça change. Et puis ça désacralise le guet-apens.
379,Le roi Loth," Vous, vous êtes un peigne-cul en toutes circonstances. N'importe qui vous pousserait à n'importe quoi pourvu qu'il parle un peu fort."
380,Le roi Loth," Non, c'est moi qui y suis pour quelque chose. Le coup d'État, c'est moi ! Le clan séparatiste, c'est moi ! Et d'une manière générale, j'ai un lien plus ou moins direct avec tout ce qui se manigance de vicelard en Bretagne depuis ces trente dernières années, ça tout le monde le sait. Ce qu'on sait moins en revanche, c'est la raison qui me pousse à faire tout ça... [Arthur : Oui je vous écoute, qu'est ce qui vous pousse à faire tout ça ?] L'amour ! Que je porte à ma femme, votre sœur. [Arthur : Demi-sœur !] Personne ne vous déteste plus qu'elle dans tout le royaume, sire. Et moi, pauvre fou d'amour esclave de ses yeux, je ne cherche qu'à contenter ses désirs de vengeance. Me commanderait-elle de venir attaquer vos armées seul contre un million, je le ferais sans réfléchir. Alors quand cette salope a su que Lancelot organisait une armée séparatiste, elle m'a ordonné de m'associer à lui et de lui filer du pognon. Et moi, pauvre bête dressée, je me suis lâchement exécuté. Misa brevis et spiritus maxima... Ça veut rien dire, mais je suis très en colère contre moi même."
381,Le roi Loth, Odi panem quid meliora ! ça ne veut rien dire mais je trouve que ça boucle bien.
382,Le roi Loth, Nun pecat et nun replica. Non ça veut rien dire mais bon euh…
383,Le roi Loth," Mais alors la ! In medio stat virtus. Non c'est tout a fait correct, la vertu est dans le juste milieu en revanche, ça n'a rien à voir avec la conversation"
384,Le roi Loth," C’est allé relativement vite, mais il a quand même fallu que je m’y reprenne à deux fois… J’l’avais pourtant étranglé pendant cinq bonnes minutes, le fumier ; il était bleu outre-mer, avec une jolie langue gonflée comme une escalope de dinde ; et pourtant croyez-moi si vous voulez, il respirait encore, la vieille carne. Et, je sais pas si c’est cette respiration paniquée et sifflotante, ou alors si c’est le fait qu’il me fixait avec de grands yeux rouges - parce que tous les vaisseaux avaient pété - mais je me suis senti un peu déstabilisé. Alors j’lui ai bourré la bouche avec un linge trempé dans de l’huile de lampe et j’ai foutu le feu. Bah, ça répond à votre question du coup : oui, c’est allé assez vite."
385,Le roi Loth," Oui mais, quand je reste trop dans ma baraque, je conspire, c’est un réflexe. Du coup, je prends l’air, ça vaut mieux pour tout le monde."
386,Le roi Loth," Ah, mais c’est pas possible, ça ! J’ai pas envie, de participer ! À rien ! C’est pas mon genre, de participer ! Jamais je participerai ! À part à vos obsèques, bande de cons !"
387,Le roi Loth," Mais ils sont tous plus débiles les uns que les autres ces pigeons. Les nôtres, quand on les envoie à Kaamelott on se les fait systématiquement ramener par la vieille de la ferme d'à coté ! [...] ça s'adresse à personne, les pigeons sont cons, point !"
